anomes,ano,mesnum,mesnome,mesnomeabr,mes_key
Jan/1998,1998,1,Janeiro,Jan,1998Jan
Fev/1998,1998,2,Fevereiro,Fev,1998Fev
Mar/1998,1998,3,Março,Mar,1998Mar
Abr/1998,1998,4,Abril,Abr,1998Abr
Mai/1998,1998,5,Maio,Mai,1998Mai
Jun/1998,1998,6,Junho,Jun,1998Jun
Jul/1998,1998,7,Julho,Jul,1998Jul
Ago/1998,1998,8,Agosto,Ago,1998Ago
Set/1998,1998,9,Setembro,Set,1998Set
Out/1998,1998,10,Outubro,Out,1998Out
Nov/1998,1998,11,Novembro,Nov,1998Nov
Dez/1998,1998,12,Dezembro,Dez,1998Dez
Jan/1999,1999,1,Janeiro,Jan,1999Jan
Fev/1999,1999,2,Fevereiro,Fev,1999Fev
Mar/1999,1999,3,Março,Mar,1999Mar
Abr/1999,1999,4,Abril,Abr,1999Abr
Mai/1999,1999,5,Maio,Mai,1999Mai
Jun/1999,1999,6,Junho,Jun,1999Jun
Jul/1999,1999,7,Julho,Jul,1999Jul
Ago/1999,1999,8,Agosto,Ago,1999Ago
Set/1999,1999,9,Setembro,Set,1999Set
Out/1999,1999,10,Outubro,Out,1999Out
Nov/1999,1999,11,Novembro,Nov,1999Nov
Dez/1999,1999,12,Dezembro,Dez,1999Dez
Jan/2000,2000,1,Janeiro,Jan,2000Jan
Fev/2000,2000,2,Fevereiro,Fev,2000Fev
Mar/2000,2000,3,Março,Mar,2000Mar
Abr/2000,2000,4,Abril,Abr,2000Abr
Mai/2000,2000,5,Maio,Mai,2000Mai
Jun/2000,2000,6,Junho,Jun,2000Jun
Jul/2000,2000,7,Julho,Jul,2000Jul
Ago/2000,2000,8,Agosto,Ago,2000Ago
Set/2000,2000,9,Setembro,Set,2000Set
Out/2000,2000,10,Outubro,Out,2000Out
Nov/2000,2000,11,Novembro,Nov,2000Nov
Dez/2000,2000,12,Dezembro,Dez,2000Dez
Jan/2001,2001,1,Janeiro,Jan,2001Jan
Fev/2001,2001,2,Fevereiro,Fev,2001Fev
Mar/2001,2001,3,Março,Mar,2001Mar
Abr/2001,2001,4,Abril,Abr,2001Abr
Mai/2001,2001,5,Maio,Mai,2001Mai
Jun/2001,2001,6,Junho,Jun,2001Jun
Jul/2001,2001,7,Julho,Jul,2001Jul
Ago/2001,2001,8,Agosto,Ago,2001Ago
Set/2001,2001,9,Setembro,Set,2001Set
Out/2001,2001,10,Outubro,Out,2001Out
Nov/2001,2001,11,Novembro,Nov,2001Nov
Dez/2001,2001,12,Dezembro,Dez,2001Dez
Jan/2002,2002,1,Janeiro,Jan,2002Jan
Fev/2002,2002,2,Fevereiro,Fev,2002Fev
Mar/2002,2002,3,Março,Mar,2002Mar
Abr/2002,2002,4,Abril,Abr,2002Abr
Mai/2002,2002,5,Maio,Mai,2002Mai
Jun/2002,2002,6,Junho,Jun,2002Jun
Jul/2002,2002,7,Julho,Jul,2002Jul
Ago/2002,2002,8,Agosto,Ago,2002Ago
Set/2002,2002,9,Setembro,Set,2002Set
Out/2002,2002,10,Outubro,Out,2002Out
Nov/2002,2002,11,Novembro,Nov,2002Nov
Dez/2002,2002,12,Dezembro,Dez,2002Dez
Jan/2003,2003,1,Janeiro,Jan,2003Jan
Fev/2003,2003,2,Fevereiro,Fev,2003Fev
Mar/2003,2003,3,Março,Mar,2003Mar
Abr/2003,2003,4,Abril,Abr,2003Abr
Mai/2003,2003,5,Maio,Mai,2003Mai
Jun/2003,2003,6,Junho,Jun,2003Jun
Jul/2003,2003,7,Julho,Jul,2003Jul
Ago/2003,2003,8,Agosto,Ago,2003Ago
Set/2003,2003,9,Setembro,Set,2003Set
Out/2003,2003,10,Outubro,Out,2003Out
Nov/2003,2003,11,Novembro,Nov,2003Nov
Dez/2003,2003,12,Dezembro,Dez,2003Dez
Jan/2004,2004,1,Janeiro,Jan,2004Jan
Fev/2004,2004,2,Fevereiro,Fev,2004Fev
Mar/2004,2004,3,Março,Mar,2004Mar
Abr/2004,2004,4,Abril,Abr,2004Abr
Mai/2004,2004,5,Maio,Mai,2004Mai
